FID,OBJECTID,GEOID10,County,Shape_Leng,Shape_Area,LOWINCPCT,LINGISOPCT,LESSHSPCT,UNEMPPCT,LIFEEXP,P_LIFEEXP,EJIndex
0,29556,23031005100,"York County, ME",50666.485780100003467,126399144.659999996423721,0.067534100000000,0.003952600000000,0.039893600000000,0.015215900000000,80.3000031,34.618965000000003,18.591925000000000
1,29567,23031020000,"York County, ME",69745.969457200000761,203991097.370999991893768,0.104296000000000,0.000000000000000,0.087123200000000,0.036943200000000,78.3000031,55.780925000000003,20.227249000000000
2,29601,23017966900,"Oxford County, ME",105055.950404000002891,357366990.625000000000000,0.431632000000000,0.005947300000000,0.145982300000000,0.030674800000000,79.5000000,43.099609000000001,28.184728000000000
3,29604,23017966400,"Oxford County, ME",111354.823590999993030,432768144.078000009059906,0.433286000000000,0.000000000000000,0.128093500000000,0.054025400000000,80.3000031,34.618965000000003,28.368099000000001
4,29606,23017965900,"Oxford County, ME",111001.473945000005187,449009851.444000005722046,0.341639300000000,0.002279600000000,0.051815600000000,0.035294100000000,82.6999969,13.338319000000000,25.160571000000001
5,29607,23017966600,"Oxford County, ME",117409.166196999998647,657477012.860000014305115,0.282910300000000,0.000000000000000,0.075328000000000,0.052878200000000,78.9000015,49.614182000000000,24.002330000000001
6,29608,23017966800,"Oxford County, ME",96009.824518900000839,476887346.308000028133392,0.325037700000000,0.000000000000000,0.067415700000000,0.035915500000000,76.5000000,72.946374000000006,23.867377999999999
7,29609,23017966000,"Oxford County, ME",226168.202824000007240,1249142313.599999904632568,0.369464600000000,0.000000000000000,0.083115800000000,0.053349900000000,80.5000000,32.468929000000003,26.218606000000001
8,29637,23023970600,"Sagadahoc County, ME",21795.593288899999607,15581212.614800000563264,0.370737800000000,0.000000000000000,0.090078300000000,0.012026500000000,75.0000000,84.070312999999999,24.456852000000001
9,29639,23023970700,"Sagadahoc County, ME",100479.015824999994948,297803096.551999986171722,0.181902800000000,0.000000000000000,0.049760200000000,0.021748400000000,81.4000015,23.422694000000000,21.348227999999999
10,29643,23023970500,"Sagadahoc County, ME",33255.145572499997797,50449670.582699999213219,0.339414600000000,0.000000000000000,0.035213300000000,0.024031000000000,76.0999985,76.205493000000004,23.193178000000000
11,29657,23005017001,"Cumberland County, ME",70369.574706200000946,219751446.898999989032745,0.231261700000000,0.000000000000000,0.023907100000000,0.030311100000000,82.5999985,13.942275000000000,22.229597999999999
12,29658,23005004701,"Cumberland County, ME",48928.590708999996423,72065618.541199997067451,0.152381000000000,0.000000000000000,0.016949200000000,0.044871800000000,78.5999985,52.703794000000002,20.004040000000000
13,29659,23005017301,"Cumberland County, ME",54566.563314699997136,142269058.432000011205673,0.099329900000000,0.006647400000000,0.011635100000000,0.012737600000000,80.5000000,32.468929000000003,18.707000000000001
14,29660,23005004702,"Cumberland County, ME",58561.580250099999830,157339768.150000005960464,0.200677400000000,0.000000000000000,0.059717900000000,0.026281900000000,78.5000000,53.772010999999999,21.433544000000001
15,29661,23005017102,"Cumberland County, ME",110114.717164999994566,222288494.393999993801117,0.170888300000000,0.008227400000000,0.029512400000000,0.062004300000000,80.6999969,30.315780000000000,21.552647000000000
16,29662,23005004501,"Cumberland County, ME",45975.246697900001891,76785876.971399992704391,0.169709700000000,0.000000000000000,0.045580700000000,0.021531100000000,77.4000015,64.779854999999998,20.216429999999999
17,29663,23005017002,"Cumberland County, ME",72396.810741599998437,204319771.879000008106232,0.085911800000000,0.021621600000000,0.019064900000000,0.009316800000000,84.0000000,7.328834000000000,19.518301999999998
18,29664,23005004502,"Cumberland County, ME",59427.043798600003356,154677355.083999991416931,0.128356400000000,0.000000000000000,0.039267700000000,0.028508000000000,80.6999969,30.315780000000000,20.062640999999999
19,29665,23005017101,"Cumberland County, ME",87959.475807900002110,194320648.337000012397766,0.213288400000000,0.004366800000000,0.043093300000000,0.027027000000000,80.0999985,36.661416000000003,21.775510000000001
20,29668,23005004803,"Cumberland County, ME",45705.102044200000819,94268864.180299997329712,0.196608900000000,0.000000000000000,0.090004500000000,0.031944900000000,81.5999985,21.445777000000000,22.691165999999999
21,29669,23005004802,"Cumberland County, ME",41221.766129800002091,83464595.450399994850159,0.160640300000000,0.000000000000000,0.036174300000000,0.043077800000000,77.5999985,62.886248999999999,20.317848000000001
22,29670,23005004801,"Cumberland County, ME",42905.566079299998819,71655222.906399995088577,0.177088000000000,0.006412500000000,0.043358800000000,0.008968600000000,78.4000015,54.833682000000003,20.396557999999999
23,29671,23005002900,"Cumberland County, ME",22723.433708900000056,25061420.605799999088049,0.243931100000000,0.023367700000000,0.046292700000000,0.089390700000000,77.4000015,64.779854999999998,23.539643999999999
24,29672,23005002800,"Cumberland County, ME",12611.648998799999390,8520108.667330000549555,0.357618100000000,0.000000000000000,0.073342100000000,0.043257000000000,77.1999969,66.734572000000000,24.924343000000000
25,29673,23005002700,"Cumberland County, ME",31313.839258299998619,24597098.000900000333786,0.372377300000000,0.041707100000000,0.059824000000000,0.053036400000000,78.0999985,57.879342000000001,26.158895999999999
26,29674,23005002600,"Cumberland County, ME",36566.561159999997471,27721490.291700001806021,0.173980400000000,0.000000000000000,0.029683400000000,0.026025600000000,83.0999985,11.143330000000001,21.213788000000001
27,29675,23005003500,"Cumberland County, ME",17687.689058100000693,9650847.591930000111461,0.161480200000000,0.000000000000000,0.036628700000000,0.084821400000000,78.6999969,51.746200000000002,21.398605000000000
28,29676,23005003400,"Cumberland County, ME",21798.245467400000052,8222549.511730000376701,0.171336900000000,0.005753100000000,0.027616300000000,0.029112600000000,80.4000015,33.570858000000001,20.756378000000002
29,29677,23005003300,"Cumberland County, ME",15230.291906500000550,11955320.765399999916553,0.167452800000000,0.000000000000000,0.053974900000000,0.027195700000000,78.5000000,53.772010999999999,20.672467999999999
30,29678,23005003200,"Cumberland County, ME",11702.811172199999419,4395063.617899999953806,0.163076900000000,0.005263200000000,0.023859400000000,0.054129500000000,79.9000015,38.814461000000001,20.906580000000002
31,29681,23001040000,"Androscoggin County, ME",66195.692120699997758,195238852.407999992370605,0.118112200000000,0.000000000000000,0.051470600000000,0.008558000000000,78.1999969,56.910761999999998,19.202815000000001
32,29686,23001041000,"Androscoggin County, ME",74419.802251500004786,236615272.897000014781952,0.227811700000000,0.000000000000000,0.059966000000000,0.037770900000000,77.5000000,63.763564000000002,22.010971999999999
33,29688,23005003100,"Cumberland County, ME",11967.117712400000528,7321088.786120000295341,0.251623400000000,0.000000000000000,0.057894700000000,0.031929000000000,77.0999985,67.792974999999998,22.248942000000000
34,29689,23005003000,"Cumberland County, ME",24924.785399000000325,27756448.282400000840425,0.256578900000000,0.032656000000000,0.043194600000000,0.058159900000000,77.9000015,59.813115000000003,23.391787999999998
